Theme,Topic,Part of speech,Headword Spanish,English equivelant,
Popular culture,Free time activities,n (m),sol,sun,
Popular culture,Free time activities,n (m),papel,"paper, role, part",
Popular culture,Free time activities,n (m),producto,product,
Popular culture,Free time activities,n (m),aire,air,
Popular culture,Free time activities,n (m),artculo,"article, product, item",
Popular culture,Free time activities,n (m),resultado,result,
Popular culture,Free time activities,n (m),viaje,"trip, journey",
Popular culture,Free time activities,n (m),peso,"weight, peso (currency)",
Popular culture,Free time activities,n (m),miembro,member,
Popular culture,Free time activities,n (m),precio,"price, cost, value ",
Popular culture,Free time activities,n (m),personaje,"character (in book, film)",
Popular culture,Free time activities,n (m),teatro,"theatre, drama",
Popular culture,Free time activities,n (m),tamao,"size, dimension",
Popular culture,Free time activities,n (m),riesgo,risk,
Popular culture,Free time activities,n (m),perro,dog,
Popular culture,Free time activities,n (m),caballo,horse,
Popular culture,Free time activities,n (m),cine,cinema,
Popular culture,Free time activities,n (m),peridico,newspaper,
Popular culture,Free time activities,n (m),instrumento,instrument,
Popular culture,Free time activities,n (m),premio,"prize, reward, award",
Popular culture,Free time activities,n (m),museo,museum,
Popular culture,Free time activities,n (m),verano,summer,
Popular culture,Free time activities,n (m),ejercicio,exercise,
Popular culture,Free time activities,n (m),peligro,danger,
Popular culture,Free time activities,n (m),vdeo,video,
Popular culture,Free time activities,n (m),novio,"boyfriend, groom",
Popular culture,Free time activities,n (m),pan,bread,
Popular culture,Free time activities,n (m),vino,wine,
Popular culture,Free time activities,n (m),parque,park,
Popular culture,Free time activities,n (m),concierto,concert,
Popular culture,Free time activities,n (m),ftbol,football,
Popular culture,Free time activities,n (m),zapato,shoe,
Popular culture,Free time activities,n (m),deporte,sport,
Popular culture,Free time activities,n (m),pjaro,bird,
Popular culture,Free time activities,n (m),espectculo,"show, spectacle",
Popular culture,Free time activities,n (m),vestido,dress,
Popular culture,Free time activities,n (m),dibujo,"drawing, art",
Popular culture,Free time activities,n (m),plato,"plate, dish",
Popular culture,Free time activities,n (m),invierno,winter,
Popular culture,Free time activities,n (m),pantaln,trousers,
Popular culture,Free time activities,n (m),regalo,"present, gift",
Popular culture,Free time activities,n (m),huevo,egg,
Popular culture,Free time activities,n (m),azcar,sugar,
Popular culture,Free time activities,n (m),baile,dance,
Popular culture,Free time activities,n (m),mvil,mobile phone,
Popular culture,Free time activities,n (m),concurso,"competition, quiz",
Popular culture,Free time activities,n (m),estadio,stadium,
Popular culture,Free time activities,n (m),ordenador,computer,
Popular culture,Free time activities,n (m),restaurante,restaurant,
Popular culture,Free time activities,n (m),pescado,fish,
Popular culture,Free time activities,n (m),pollo,chicken,
Popular culture,Free time activities,n (m),tomate,tomato,
Popular culture,Free time activities,n (m),teclado,keyboard,
Popular culture,Free time activities,n (m),baloncesto,basketball,
Popular culture,Free time activities,n (m),bocadillo,sandwich,
Popular culture,Free time activities,n (m),camarero,waiter,
Popular culture,Free time activities,n (m),caramelo,sweet,
Popular culture,Free time activities,n (m),gimnasio,gym,
Popular culture,Free time activities,n (m),jamn,ham,
Popular culture,Free time activities,n (m),flamenco,flamenco (dance/music from the south of Spain),
Popular culture,Free time activities,v,ver,"(to) see, watch | seeing, watching",
Popular culture,Free time activities,v,veo,(I) see | (I) am seeing,
Popular culture,Free time activities,v,vea,"(I, she, he, it, one) used to see, used to watch | (I, she, he, it, one) was seeing, was watching | (you (sing formal)) used to see, used to watch | (you (sing formal)) were seeing, were watching",
Popular culture,Free time activities,v,veas,"(you (sing informal)) used to see, used to watch | were seeing, were watching",
Popular culture,Free time activities,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called ",
Popular culture,Free time activities,v,perder; perderse,"(to) lose, miss | losing, missing; (to) get lost | getting lost",
Popular culture,Free time activities,v,escribir,(to) write | writing,
Popular culture,Free time activities,v,leer,(to) read | reading,
Popular culture,Free time activities,v,ganar,"(to) win, earn | winning, earning",
Popular culture,Free time activities,v,tocar,"(to) touch, play (instrument) | touching, playing (instrument)",
Popular culture,Free time activities,v,correr,(to) run | running,
Popular culture,Free time activities,v,comer,(to) eat | eating,
Popular culture,Free time activities,v,levantar; levantarse,(to) raise | raising; (to) get up | getting up,
Popular culture,Free time activities,v,jugar,(to) play (sport/game) | playing (sport/game),
Popular culture,Free time activities,v,juego,(I) play | (I) am playing ,
Popular culture,Free time activities,v,juegas,(you) play | (you) are playing,
Popular culture,Free time activities,v,juega | ijuega!,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",
Popular culture,Free time activities,v,juegan,(they) play | (they) are playing,
Popular culture,Free time activities,v,comprar,"(to) buy, purchase | buying, purchasing",
Popular culture,Free time activities,v,pagar,(to) pay (for) | paying (for),
Popular culture,Free time activities,v,dormir; dormirse,(to) sleep | sleeping; (to) fall asleep | falling asleep,
Popular culture,Free time activities,v,aprender,(to) learn | learning,
Popular culture,Free time activities,v,bajar,"(to) go down, get off, download, lower  | going down, getting off, downloading, lowering",
Popular culture,Free time activities,v,participar,(to) participate | participating,
Popular culture,Free time activities,v,cantar,(to) sing | singing,
Popular culture,Free time activities,v,costar,"(to) cost, be hard | costing, being hard",
Popular culture,Free time activities,v,invitar,(to) invite | inviting,
Popular culture,Free time activities,v,celebrar; celebrarse,(to) celebrate | celebrating; (to) hold (an event) | holding (an event),
Popular culture,Free time activities,v,viajar,(to) travel | travelling,
Popular culture,Free time activities,v,probar,"(to) taste, try | tasting, trying",
Popular culture,Free time activities,v,organizar,(to) organise | organising,
Popular culture,Free time activities,v,beber,(to) drink | drinking,
Popular culture,Free time activities,v,recomendar,(to) recommend I recommending,
Popular culture,Free time activities,v,aprobar,(to) pass (test) I passing (test),
Popular culture,Free time activities,v,bailar,(to) dance I dancing,
Popular culture,Free time activities,v,pintar; pintarse,(to) paint I painting; (to) put on makeup | putting on makeup,
Popular culture,Free time activities,v,montar,"(to) ride, set up I riding, setting up",
Popular culture,Free time activities,v,grabar,(to) record I recording,
Popular culture,Free time activities,v,doler,"(to) hurt, be painful I hurting, being painful",
Popular culture,Free time activities,v,descansar,"(to) rest, relax I resting, relaxing",
Popular culture,Free time activities,v,gastar,(to) spend (money) I spending (money),
Popular culture,Free time activities,v,reservar,"(to) book, reserve | booking, reserving",
Popular culture,Free time activities,v,cenar,"(to) have dinner, tea (evening meal) | having dinner, tea (evening meal)",
Popular culture,Free time activities,v,ahorrar,"(to) save (time, money) | saving (time, money)",
Popular culture,Free time activities,v,nadar,(to) swim | swimming,
Popular culture,Free time activities,v,entrenar; entrenarse,"(to) train | training; (to) train, go training | training, going training",
Popular culture,Free time activities,n (m/f),jugador,player,
Popular culture,Free time activities,n (m/f),cliente,"client, customer",
Popular culture,Free time activities,n (m/f),cantante,singer,
Communication and the world around us,Environment and where people live,adj,grave,"serious, grave",
Communication and the world around us,Environment and where people live,adj,social,social,
Communication and the world around us,Environment and where people live,adj,nuevo,"new, another (pre-noun), new, newly-made (post-noun)",
Communication and the world around us,Environment and where people live,adj,pblico,"public, audience",
Communication and the world around us,Environment and where people live,adj,joven,young,
Communication and the world around us,Environment and where people live,adj,antiguo,"former (pre-noun), old, ancient (pre and post-noun)",
Communication and the world around us,Environment and where people live,adj,pobre,"poor, unfortunate (pre-noun), without money (post-noun)",
Communication and the world around us,Environment and where people live,adj,actual,current,
Communication and the world around us,Environment and where people live,adj,ingls,English,
Communication and the world around us,Environment and where people live,adj,responsable,responsible,
Communication and the world around us,Environment and where people live,adj,peor*,"worse, worst",
Communication and the world around us,Environment and where people live,adj,verde,green,
Communication and the world around us,Environment and where people live,adj,histrico,"historic, historical",
Communication and the world around us,Environment and where people live,adj,moderno,modern,
Communication and the world around us,Environment and where people live,adj,bonito,"pretty, nice, beautiful ",
Communication and the world around us,Environment and where people live,adj,fro,cold,
Communication and the world around us,Environment and where people live,adj,tranquilo,"calm, tranquil, relaxed",
Communication and the world around us,Environment and where people live,adj,muerto,dead,
Communication and the world around us,Environment and where people live,adj,seco,dry,
Communication and the world around us,Environment and where people live,adj,industrial,industrial,
Communication and the world around us,Environment and where people live,adj,elctrico,electric,
Communication and the world around us,Environment and where people live,adj,fresco,"fresh, cool",
Communication and the world around us,Environment and where people live,adj,peligroso,dangerous,
Communication and the world around us,Environment and where people live,adj,vaco,"empty, vacant",
Communication and the world around us,Environment and where people live,adj,limpio,clean,
Communication and the world around us,Environment and where people live,adj,justo,"fair, just",
Communication and the world around us,Environment and where people live,adj,caliente,"hot, warm",
Communication and the world around us,Environment and where people live,adj,sucio,dirty,
Communication and the world around us,Environment and where people live,adj,prctico,"practical, useful",
Communication and the world around us,Environment and where people live,adj,feo,ugly,
Communication and the world around us,Environment and where people live,adj,ideal,ideal,
Communication and the world around us,Environment and where people live,adj,animado,lively,
Communication and the world around us,Environment and where people live,adv,Àdnde?,where?,
Communication and the world around us,Environment and where people live,adv,all,"there, over there",
Communication and the world around us,Environment and where people live,adv,peor**,worse,
Communication and the world around us,Environment and where people live,adv,lejos,far (away),
Communication and the world around us,Environment and where people live,adv,cerca,"close, near, nearby",
Communication and the world around us,Environment and where people live,adv,detrs,behind,
Communication and the world around us,Environment and where people live,mwp,centro comercial,shopping centre,
Communication and the world around us,Environment and where people live,mwp,al aire libre,"in the open air, outdoors",
Communication and the world around us,Environment and where people live,mwp,cambio climtico,climate change,
Communication and the world around us,Environment and where people live,n (f),casa,house,
Communication and the world around us,Environment and where people live,n (f),ciudad,"city, town",
Communication and the world around us,Environment and where people live,n (f),historia,"history, story",
Communication and the world around us,Environment and where people live,n (f),agua,water,
Communication and the world around us,Environment and where people live,n (f),tierra,"earth, land, ground",
Communication and the world around us,Environment and where people live,n (f),calle,street,
Communication and the world around us,Environment and where people live,n (f),puerta,door,
Communication and the world around us,Environment and where people live,n (f),luz,"light, electricity",
Communication and the world around us,Environment and where people live,n (f),empresa,"company, business, firm",
Communication and the world around us,Environment and where people live,n (f),informacin,information,
Communication and the world around us,Environment and where people live,n (f),sociedad,society,
Communication and the world around us,Environment and where people live,n (f),zona,"area, zone",
Communication and the world around us,Environment and where people live,n (f),universidad,university,
Communication and the world around us,Environment and where people live,n (f),accin,"action, act",
Communication and the world around us,Environment and where people live,n (f),vista,"view, sight ",
Communication and the world around us,Environment and where people live,n (f),iglesia,church,
Communication and the world around us,Environment and where people live,n (f),falta,"lack, shortage, mistake",
Communication and the world around us,Environment and where people live,n (f),especie,species,
Communication and the world around us,Environment and where people live,n (f),comunidad,community,
Communication and the world around us,Environment and where people live,n (f),mesa,table,
Communication and the world around us,Environment and where people live,n (f),organizacin,organisation,
Communication and the world around us,Environment and where people live,n (f),diferencia,difference,
Communication and the world around us,Environment and where people live,n (f),regin,region,
Communication and the world around us,Environment and where people live,n (f),capital,capital (city),
Communication and the world around us,Environment and where people live,n (f),causa,cause,
Communication and the world around us,Environment and where people live,n (f),cama,bed,
Communication and the world around us,Environment and where people live,n (f),direccin,"address, direction",
Communication and the world around us,Environment and where people live,n (f),energa,"energy, power",
Communication and the world around us,Environment and where people live,n (f),naturaleza,nature,
Communication and the world around us,Environment and where people live,n (f),ventana,window,
Communication and the world around us,Environment and where people live,n (f),ciencias,science(s),
Communication and the world around us,Environment and where people live,n (f),flor,flower,
Communication and the world around us,Environment and where people live,n (f),economa,"economy, economics ",
Communication and the world around us,Environment and where people live,n (f),entrada,"entrance, admission ticket",
Communication and the world around us,Environment and where people live,n (f),planta,"plant, floor",
Communication and the world around us,Environment and where people live,n (f),pared,(interior) wall,
Communication and the world around us,Environment and where people live,n (f),ayuda,help,
Communication and the world around us,Environment and where people live,n (f),plaza,square,
Communication and the world around us,Environment and where people live,n (f),isla,island,
Communication and the world around us,Environment and where people live,n (f),"tele, televisin","TV, television",
Communication and the world around us,Environment and where people live,n (f),costa,coast,
Communication and the world around us,Environment and where people live,n (f),estrella,star,
Communication and the world around us,Environment and where people live,n (f),lluvia,rain,
Communication and the world around us,Environment and where people live,n (f),industria,industry,
Communication and the world around us,Environment and where people live,n (f),habitacin,"room, bedroom",
Communication and the world around us,Environment and where people live,n (f),oficina,office,
Communication and the world around us,Environment and where people live,n (f),caja,"box, till (in shop)",
Communication and the world around us,Environment and where people live,n (f),violencia,violence,
Communication and the world around us,Environment and where people live,n (f),salida,"exit, departure",
Communication and the world around us,Environment and where people live,n (f),cocina,"kitchen, cooking, food technology",
Communication and the world around us,Environment and where people live,n (f),hambre,hunger,
Communication and the world around us,Environment and where people live,n (f),silla,"chair, seat",
Communication and the world around us,Environment and where people live,n (f),temperatura,temperature,
Communication and the world around us,Environment and where people live,n (f),izquierda,left,
Communication and the world around us,Environment and where people live,n (f),ventaja,"advantage, benefit",
Communication and the world around us,Environment and where people live,n (f),estacin,"station, season (of the year)",
Communication and the world around us,Environment and where people live,n (f),montaa,mountain,
Communication and the world around us,Environment and where people live,n (f),medicina,medicine,
Communication and the world around us,Environment and where people live,n (f),playa,beach,
Communication and the world around us,Environment and where people live,n (f),tienda,"shop, tent",
Communication and the world around us,Environment and where people live,n (f),esquina,(street) corner,
Communication and the world around us,Environment and where people live,n (f),derecha,right,
Communication and the world around us,Environment and where people live,n (f),bolsa,bag,
Communication and the world around us,Environment and where people live,n (f),biblioteca,library,
Communication and the world around us,Environment and where people live,n (f),arquitectura,architecture,
Communication and the world around us,Environment and where people live,n (f),compra(s),shopping,
Communication and the world around us,Environment and where people live,n (f),carretera,road,
Communication and the world around us,Environment and where people live,n (f),escalera,"stairs, ladder",
Communication and the world around us,Environment and where people live,n (f),instalacin,facility,
Communication and the world around us,Environment and where people live,n (f),fbrica,factory,
Communication and the world around us,Environment and where people live,n (f),basura,"rubbish, junk",
Communication and the world around us,Environment and where people live,n (f),primavera,spring,
Communication and the world around us,Environment and where people live,n (f),contaminacin,pollution,
Communication and the world around us,Environment and where people live,n (f),geografa,geography,
Communication and the world around us,Environment and where people live,n (f),recepcin,reception,
Communication and the world around us,Environment and where people live,n (f),piscina,swimming pool,
Communication and the world around us,Environment and where people live,n (f),desventaja,disadvantage,
Communication and the world around us,Environment and where people live,n (f),mezquita,mosque,
Communication and the world around us,Environment and where people live,n (f),sinagoga,synagogue,
Communication and the world around us,Environment and where people live,n (f),corrida,bullfight,
Communication and the world around us,Environment and where people live,n (f),Espaa,Spain,
Communication and the world around us,Environment and where people live,n (f),Sudamrica,South America,
Communication and the world around us,Environment and where people live,n (f),"bicicleta, bici","bicycle, bike",
Communication and the world around us,Environment and where people live,n (fpl),afueras,"outskirts, suburbs",
Communication and the world around us,Environment and where people live,n (m),animal,animal,
Communication and the world around us,Environment and where people live,n (m),caf,"coffee, cafe",
Communication and the world around us,Environment and where people live,n (m),camping,"camp site, camping",
Communication and the world around us,Environment and where people live,n (m),sur,south,
Communication and the world around us,Environment and where people live,n (m),este,east,
Communication and the world around us,Environment and where people live,n (m),tiempo,"time (general), weather",
Communication and the world around us,Environment and where people live,n (m),pas,country,
Communication and the world around us,Environment and where people live,n (m),mundo,world,
Communication and the world around us,Environment and where people live,n (m),lugar,"place, position",
Communication and the world around us,Environment and where people live,n (m),problema,problem,
Communication and the world around us,Environment and where people live,n (m),pueblo,"village, small town",
Communication and the world around us,Environment and where people live,n (m),estudio,"study, learning, studio ",
Communication and the world around us,Environment and where people live,n (m),efecto,effect,
Communication and the world around us,Environment and where people live,n (m),centro,"centre, middle",
Communication and the world around us,Environment and where people live,n (m),cambio; en cambio,"change; on the other hand, whereas",
Communication and the world around us,Environment and where people live,n (m),campo,"countryside, pitch, field",
Communication and the world around us,Environment and where people live,n (m),pie; a pie,foot; on foot,
Communication and the world around us,Environment and where people live,n (m),proyecto,"project, plan",
Communication and the world around us,Environment and where people live,n (m),sol,sun,
Communication and the world around us,Environment and where people live,n (m),papel,"paper, role, part",
Communication and the world around us,Environment and where people live,n (m),producto,product,
Communication and the world around us,Environment and where people live,n (m),aire,air,
Communication and the world around us,Environment and where people live,n (m),espacio,"space, room",
Communication and the world around us,Environment and where people live,n (m),uso,use,
Communication and the world around us,Environment and where people live,n (m),sitio (web),"place, site (website)",
Communication and the world around us,Environment and where people live,n (m),mercado,market,
Communication and the world around us,Environment and where people live,n (m),ro,river,
Communication and the world around us,Environment and where people live,n (m),esfuerzo,effort,
Communication and the world around us,Environment and where people live,n (m),cielo,"sky, heaven",
Communication and the world around us,Environment and where people live,n (m),norte,north,
Communication and the world around us,Environment and where people live,n (m),colegio,(secondary) school,
Communication and the world around us,Environment and where people live,n (m),tamao,"size, dimension",
Communication and the world around us,Environment and where people live,n (m),cuarto,"quarter (used in time expressions), room",
Communication and the world around us,Environment and where people live,n (m),banco,"(financial) bank, bench",
Communication and the world around us,Environment and where people live,n (m),rbol,tree,
Communication and the world around us,Environment and where people live,n (m),extranjero,"abroad, foreigner (m)",
Communication and the world around us,Environment and where people live,n (m),metro,"underground, tube, metro, metre",
Communication and the world around us,Environment and where people live,n (m),viento,wind,
Communication and the world around us,Environment and where people live,n (m),edificio,building,
Communication and the world around us,Environment and where people live,n (m),fuego,fire,
Communication and the world around us,Environment and where people live,n (m),piso,"flat, apartment, floor (of building)",
Communication and the world around us,Environment and where people live,n (m),barrio,"neighborhood, district",
Communication and the world around us,Environment and where people live,n (m),calor,"heat, hot",
Communication and the world around us,Environment and where people live,n (m),cine,cinema,
Communication and the world around us,Environment and where people live,n (m),grado,degree (temperature),
Communication and the world around us,Environment and where people live,n (m),puesto,"post, position, stall (market)",
Communication and the world around us,Environment and where people live,n (m),ruido,noise,
Communication and the world around us,Environment and where people live,n (m),hospital,hospital,
Communication and the world around us,Environment and where people live,n (m),olor,"smell, odour ",
Communication and the world around us,Environment and where people live,n (m),puerto,"port, harbour",
Communication and the world around us,Environment and where people live,n (m),museo,museum,
Communication and the world around us,Environment and where people live,n (m),habitante,"local (person), inhabitant",
Communication and the world around us,Environment and where people live,n (m),verano,summer,
Communication and the world around us,Environment and where people live,n (m),hotel,hotel,
Communication and the world around us,Environment and where people live,n (m),peligro,danger,
Communication and the world around us,Environment and where people live,n (m),coche,car,
Communication and the world around us,Environment and where people live,n (m),jardn,garden,
Communication and the world around us,Environment and where people live,n (m),patio,"yard, playground",
Communication and the world around us,Environment and where people live,n (m),dueo,"owner, landlord (m)",
Communication and the world around us,Environment and where people live,n (m),dao,"harm, damage",
Communication and the world around us,Environment and where people live,n (m),bao,bathroom,
Communication and the world around us,Environment and where people live,n (m),parque,park,
Communication and the world around us,Environment and where people live,n (m),avin,"plane, aeroplane",
Communication and the world around us,Environment and where people live,n (m),transporte,transport,
Communication and the world around us,Environment and where people live,n (m),bosque,"forest, wood",
Communication and the world around us,Environment and where people live,n (m),tren,train,
Communication and the world around us,Environment and where people live,n (m),kilmetro,kilometer,
Communication and the world around us,Environment and where people live,n (m),instituto,secondary school,
Communication and the world around us,Environment and where people live,n (m),pjaro,bird,
Communication and the world around us,Environment and where people live,n (m),delito,crime,
Communication and the world around us,Environment and where people live,n (m),accidente,accident,
Communication and the world around us,Environment and where people live,n (m),clima,climate,
Communication and the world around us,Environment and where people live,n (m),reloj,"clock, watch",
Communication and the world around us,Environment and where people live,n (m),paisaje,landscape,
Communication and the world around us,Environment and where people live,n (m),puente,"bridge, long weekend",
Communication and the world around us,Environment and where people live,n (m),saln,living room,
Communication and the world around us,Environment and where people live,n (m),invierno,winter,
Communication and the world around us,Environment and where people live,n (m),plstico,plastic,
Communication and the world around us,Environment and where people live,n (m),templo,temple,
Communication and the world around us,Environment and where people live,n (m),trfico,traffic,
Communication and the world around us,Environment and where people live,n (m),dormitorio,bedroom,
Communication and the world around us,Environment and where people live,n (m),oeste,west,
Communication and the world around us,Environment and where people live,n (m),aeropuerto,airport,
Communication and the world around us,Environment and where people live,n (m),castillo,castle,
Communication and the world around us,Environment and where people live,n (m),estadio,stadium,
Communication and the world around us,Environment and where people live,n (m),restaurante,restaurant,
Communication and the world around us,Environment and where people live,n (m),paro,"unemployment, strike",
Communication and the world around us,Environment and where people live,n (m),otoo,autumn,
Communication and the world around us,Environment and where people live,n (m),autobs,bus,
Communication and the world around us,Environment and where people live,n (m),gimnasio,gym,
Communication and the world around us,Environment and where people live,n (m),medioambiente/medio ambiente,"environment, natural world",
Communication and the world around us,Environment and where people live,n (m),supermercado,supermarket,
Communication and the world around us,Environment and where people live,n (mpl),servicios,toilets,
Communication and the world around us,Environment and where people live,prep,entre,"between, among",
Communication and the world around us,Environment and where people live,prep,debajo,"underneath, below",
Communication and the world around us,Environment and where people live,v,dar,(to) give | giving,
Communication and the world around us,Environment and where people live,v,deber,"(to) have to, must | having to",
Communication and the world around us,Environment and where people live,v,vivir,(to) live | living,
Communication and the world around us,Environment and where people live,v,trabajar,(to) work | working,
Communication and the world around us,Environment and where people live,v,perder; perderse,"(to) lose, miss | losing, missing; (to) get lost | getting lost",
Communication and the world around us,Environment and where people live,v,morir,(to) die | dying,
Communication and the world around us,Environment and where people live,v,usar ,(to) use | using,
Communication and the world around us,Environment and where people live,v,ayudar,(to) help | helping,
Communication and the world around us,Environment and where people live,v,vender,(to) sell |selling,
Communication and the world around us,Environment and where people live,v,participar,(to) participate | participating,
Communication and the world around us,Environment and where people live,v,construir,(to) build |building,
Communication and the world around us,Environment and where people live,v,aumentar,(to) increase | increasing,
Communication and the world around us,Environment and where people live,v,tirar,"(to) throw, pull | throwing, pulling",
Communication and the world around us,Environment and where people live,v,salvar,"(to) save, rescue | saving, rescuing",
Communication and the world around us,Environment and where people live,v,visitar,(to) visit | visiting,
Communication and the world around us,Environment and where people live,v,separar; separarse,(to) separate I separating; (to) separate (of a couple) | separating (of a couple),
Communication and the world around us,Environment and where people live,v,recoger,"(to) pick up, collect, tidy up | picking up, collecting, tidying up",
Communication and the world around us,Environment and where people live,v,mejorar,"(to) improve, make better | improving, making better",
Communication and the world around us,Environment and where people live,v,reducir,(to) reduce | reducing,
Communication and the world around us,Environment and where people live,v,causar,(to) cause | causing,
Communication and the world around us,Environment and where people live,v,conducir,(to) drive | driving,
Communication and the world around us,Environment and where people live,v,coger,"(to) take, take hold of, catch | taking, taking hold of, catching",
Communication and the world around us,Environment and where people live,v,organizar,(to) organise | organising,
Communication and the world around us,Environment and where people live,v,proteger,(to) protect | protecting,
Communication and the world around us,Environment and where people live,v,respetar,(to) respect I respecting,
Communication and the world around us,Environment and where people live,v,describir,(to) describe I describing,
Communication and the world around us,Environment and where people live,v,robar,"(to) rob, steal I robbing, stealing",
Communication and the world around us,Environment and where people live,v,destruir,"(to) destroy, ruin I destroying, ruining",
Communication and the world around us,Environment and where people live,v,encender,(to) turn on I turning on,
Communication and the world around us,Environment and where people live,v,comparar,(to) compare I comparing,
Communication and the world around us,Environment and where people live,v,limpiar,(to) clean I cleaning,
Communication and the world around us,Environment and where people live,v,apagar,"(to) turn off, extinguish I turning off, extinguishing",
Communication and the world around us,Environment and where people live,v,votar,(to) vote I voting,
Communication and the world around us,Environment and where people live,v,llover,(to) rain I raining,
Communication and the world around us,Environment and where people live,v,contaminar,"(to) pollute, contaminate | polluting, contaminating",
Communication and the world around us,Environment and where people live,v,reciclar,(to) recycle | recycling,
Communication and the world around us,Environment and where people live,n (m/f),joven,"teenager, young person",
Communication and the world around us,Environment and where people live,n (m/f),mar,sea,
Communication and the world around us,Environment and where people live,n (m/f),vecino,neighbour,
Communication and the world around us,Environment and where people live,n (m/f),cientfico,scientist,
Communication and the world around us,Environment and where people live,n (m/f),turista,tourist,
Communication and the world around us,Media and technology,adj,social,social,
Communication and the world around us,Media and technology,adj,seguro,"safe, sure, secure",
Communication and the world around us,Media and technology,adj,fuerte,strong,
Communication and the world around us,Media and technology,adj,fcil,easy,
Communication and the world around us,Media and technology,adj,popular,popular,
Communication and the world around us,Media and technology,adj,moderno,modern,
Communication and the world around us,Media and technology,adj,directo,"direct, straight",
Communication and the world around us,Media and technology,adj,elctrico,electric,
Communication and the world around us,Media and technology,adj,peligroso,dangerous,
Communication and the world around us,Media and technology,adj,dbil,weak,
Communication and the world around us,Media and technology,adj,caro,expensive,
Communication and the world around us,Media and technology,adj,gratis,free (of charge),
Communication and the world around us,Media and technology,adj,online,online,
Communication and the world around us,Media and technology,mwp,medios de comunicacin,media,
Communication and the world around us,Media and technology,n (f),msica,music,
Communication and the world around us,Media and technology,n (f),imagen,"image, picture",
Communication and the world around us,Media and technology,n (f),accin,"action, act",
Communication and the world around us,Media and technology,n (f),serie,series,
Communication and the world around us,Media and technology,n (f),cultura,culture,
Communication and the world around us,Media and technology,n (f),comunidad,community,
Communication and the world around us,Media and technology,n (f),pelcula,"film, movie",
Communication and the world around us,Media and technology,n (f),pgina,page,
Communication and the world around us,Media and technology,n (f),salud,health,
Communication and the world around us,Media and technology,n (f),carta,"letter, menu",
Communication and the world around us,Media and technology,n (f),direccin,"address, direction",
Communication and the world around us,Media and technology,n (f),energa,"energy, power",
Communication and the world around us,Media and technology,n (f),red (Red),"network (Internet), net (fishing)",
Communication and the world around us,Media and technology,n (f),"tele, televisin","TV, television",
Communication and the world around us,Media and technology,n (f),foto,"photo, picture",
Communication and the world around us,Media and technology,n (f),cmara,camera,
Communication and the world around us,Media and technology,n (f),conversacin,conversation,
Communication and the world around us,Media and technology,n (f),app,app,
Communication and the world around us,Media and technology,n (f),tecnologa,technology,
Communication and the world around us,Media and technology,n (f),escena,"scene (of film), stage",
Communication and the world around us,Media and technology,n (f),marca,"make, brand",
Communication and the world around us,Media and technology,n (f),compra(s),shopping,
Communication and the world around us,Media and technology,n (f),pantalla,"screen, monitor",
Communication and the world around us,Media and technology,n (f),informtica,ICT,
Communication and the world around us,Media and technology,n (f),tableta,tablet (eg. ipad),
Communication and the world around us,Media and technology,n (m),euro,euro,
Communication and the world around us,Media and technology,n (m),Internet,internet,
Communication and the world around us,Media and technology,n (m),nombre,name,
Communication and the world around us,Media and technology,n (m),programa,programme,
Communication and the world around us,Media and technology,n (m),artculo,"article, product, item",
Communication and the world around us,Media and technology,n (m),sitio (web),"place, site (website)",
Communication and the world around us,Media and technology,n (m),resultado,result,
Communication and the world around us,Media and technology,n (m),contacto,contact,
Communication and the world around us,Media and technology,n (m),mensaje,message,
Communication and the world around us,Media and technology,n (m),telfono,"phone, telephone",
Communication and the world around us,Media and technology,n (m),riesgo,risk,
Communication and the world around us,Media and technology,n (m),error,"error, mistake",
Communication and the world around us,Media and technology,n (m),peligro,danger,
Communication and the world around us,Media and technology,n (m),vdeo,video,
Communication and the world around us,Media and technology,n (m),correo (electrnico),"mail, post (email)",
Communication and the world around us,Media and technology,n (m),anuncio,advert,
Communication and the world around us,Media and technology,n (m),mvil,mobile phone,
Communication and the world around us,Media and technology,n (m),seguidor,follower,
Communication and the world around us,Media and technology,n (m),ordenador,computer,
Communication and the world around us,Media and technology,n (m),teclado,keyboard,
Communication and the world around us,Media and technology,n (m),videojuego,computer game,
Communication and the world around us,Media and technology,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called ",
Communication and the world around us,Media and technology,v,buscar,"(to) look for, fetch | looking for, fetching",
Communication and the world around us,Media and technology,v,jugar,(to) play (sport/game) | playing (sport/game),
Communication and the world around us,Media and technology,v,juego,(I) play | (I) am playing ,
Communication and the world around us,Media and technology,v,juegas,(you) play | (you) are playing,
Communication and the world around us,Media and technology,v,juega | ijuega!,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",
Communication and the world around us,Media and technology,v,juegan,(they) play | (they) are playing,
Communication and the world around us,Media and technology,v,subir,"(to) go up, upload | going up, uploading",
Communication and the world around us,Media and technology,v,descubrir,(to) discover | discovering,
Communication and the world around us,Media and technology,v,bajar,"(to) go down, get off, download, lower  | going down, getting off, downloading, lowering",
Communication and the world around us,Media and technology,v,compartir,(to) share | sharing,
