word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,,_20
philosophie,philosophy,fr,school_jobs_future,school_subjects,noun,intermediate,KS4,La philosophie fait réfléchir.,Philosophy makes you think.,/fi.lo.zo.fi/,f,,,littérature,subject,la,philosophie,,
littérature,literature,fr,school_jobs_future,school_subjects,noun,intermediate,KS4,La littérature française est riche.,French literature is rich.,/li.te.ʁa.tyʁ/,f,,,philosophie,subject,la,littérature,,
professeur,teacher,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Le professeur explique bien.,The teacher explains well.,/pʁɔ.fe.sœʁ/,mf,,prof,élève,education,le,professeur,,
prof,teacher,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Notre prof est sympa.,Our teacher is nice.,/pʁɔf/,mf,,,élève,education,le/la,prof,,
instituteur,primary teacher,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'instituteur enseigne aux petits.,The primary teacher teaches young children.,/ɛ̃s.ti.ty.tœʁ/,m,,institutrice,élève,education,l',instituteur,,
institutrice,primary teacher,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'institutrice est patiente.,The primary teacher is patient.,/ɛ̃s.ti.ty.tʁis/,f,,,élève,education,l',institutrice,,
élève,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'élève écoute attentivement.,The student listens carefully.,/e.lɛv/,mf,,,professeur,education,l',élève,,
étudiant,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'étudiant prépare son examen.,The student prepares for his exam.,/e.ty.djɑ̃/,m,,étudiante,professeur,education,l',étudiant,,
étudiante,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'étudiante travaille dur.,The student works hard.,/e.ty.djɑ̃t/,f,,,professeur,education,l',étudiante,,
camarade de classe,classmate,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Mon camarade de classe m'aide.,My classmate helps me.,/ka.ma.ʁad de klas/,mf,,,professeur,education,le/la,camarade de classe,,
directeur,principal/headmaster,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Le directeur dirige l'école.,The principal runs the school.,/di.ʁɛk.tœʁ/,m,,directrice,élève,education,le,directeur,,
directrice,principal/headmistress,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La directrice est sévère.,The principal is strict.,/di.ʁɛk.tʁis/,f,,,élève,education,la,directrice,,
livre,book,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Ce livre est intéressant.,This book is interesting.,/livʁ/,m,,,cahier,equipment,le,livre,,
cahier,notebook,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,J'écris dans mon cahier.,I write in my notebook.,/ka.je/,m,,,livre,equipment,le,cahier,,
stylo,pen,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Mon stylo ne marche pas.,My pen doesn't work.,/sti.lo/,m,,,crayon,equipment,le,stylo,,
crayon,pencil,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Je dessine avec un crayon.,I draw with a pencil.,/kʁɛ.jɔ̃/,m,,,stylo,equipment,le,crayon,,
gomme,eraser,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,La gomme efface les erreurs.,The eraser erases mistakes.,/ɡɔm/,f,,,règle,equipment,la,gomme,,
règle,ruler,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,J'utilise une règle pour tracer.,I use a ruler to draw lines.,/ʁɛɡl/,f,,,gomme,equipment,la,règle,,
calculatrice,calculator,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,La calculatrice aide en maths.,The calculator helps in maths.,/kal.ky.la.tʁis/,f,,,ordinateur,equipment,la,calculatrice,,
cartable,school bag,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Mon cartable est lourd.,My school bag is heavy.,/kaʁ.tabl/,m,,sac à dos,trousse,equipment,le,cartable,,
sac à dos,backpack,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Je porte un sac à dos.,I carry a backpack.,/sak‿a do/,m,,,cartable,equipment,le,sac à dos,,
trousse,pencil case,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Ma trousse contient mes stylos.,My pencil case contains my pens.,/tʁus/,f,,,cartable,equipment,la,trousse,,
tableau,blackboard,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Le professeur écrit au tableau.,The teacher writes on the blackboard.,/ta.blo/,m,,,bureau,equipment,le,tableau,,
bureau,desk,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,Je m'assieds à mon bureau.,I sit at my desk.,/by.ʁo/,m,,,chaise,equipment,le,bureau,,
ordinateur,computer,fr,school_jobs_future,classroom_objects,noun,beginner,KS3,L'ordinateur facilite le travail.,The computer makes work easier.,/ɔʁ.di.na.tœʁ/,m,,,livre,equipment,l',ordinateur,,
examen,exam,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,L'examen est demain.,The exam is tomorrow.,/ɛɡ.za.mɛ̃/,m,,,contrôle,activity,l',examen,,
contrôle,test,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Nous avons un contrôle de maths.,We have a maths test.,/kɔ̃.tʁol/,m,,,examen,activity,le,contrôle,,
devoir,homework,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,J'ai des devoirs à faire.,I have homework to do.,/də.vwaʁ/,m,,,leçon,activity,le,devoir,,
devoirs,homework,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Mes devoirs sont difficiles.,My homework is difficult.,/də.vwaʁ/,m pl,,,vacances,activity,les,devoirs,,
note,grade/mark,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,J'ai eu une bonne note.,I got a good grade.,/nɔt/,f,,,résultat,activity,la,note,,
résultat,result,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Les résultats sont affichés.,The results are posted.,/ʁe.zyl.ta/,m,,,note,activity,le,résultat,,
diplôme,diploma,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Il a obtenu son diplôme.,He got his diploma.,/di.plom/,m,,,certificat,activity,le,diplôme,,
baccalauréat,baccalaureate,fr,school_jobs_future,daily_routine_school,noun,intermediate,KS4,Le baccalauréat termine le lycée.,The baccalaureate ends high school.,/ba.ka.lo.ʁe.a/,m,,bac,diplôme,activity,le,baccalauréat,,
bac,baccalaureate,fr,school_jobs_future,daily_routine_school,noun,intermediate,KS4,Je passe le bac cette année.,I'm taking the bac this year.,/bak/,m,,,diplôme,activity,le,bac,,
récréation,break/recess,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,La récréation dure quinze minutes.,Break lasts fifteen minutes.,/ʁe.kʁe.a.sjɔ̃/,f,,récré,cours,activity,la,récréation,,
récré,break,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,On joue pendant la récré.,We play during break.,/ʁe.kʁe/,f,,,cours,activity,la,récré,,
cantine,cafeteria,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Je mange à la cantine.,I eat in the cafeteria.,/kɑ̃.tin/,f,,,restaurant,activity,la,cantine,,
vacances,holidays/vacation,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Les vacances d'été durent deux mois.,Summer holidays last two months.,/va.kɑ̃s/,f pl,,,école,activity,les,vacances,,
rentrée,back to school,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,La rentrée est en septembre.,Back to school is in September.,/ʁɑ̃.tʁe/,f,,,vacances,activity,la,rentrée,,
trimestre,term/semester,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Ce trimestre est chargé.,This term is busy.,/tʁi.mɛstʁ/,m,,,semestre,activity,le,trimestre,,
semestre,semester,fr,school_jobs_future,daily_routine_school,noun,beginner,KS3,Le semestre commence en janvier.,The semester starts in January.,/sə.mɛstʁ/,m,,,trimestre,activity,le,semestre,,
travail,work,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le travail commence à 9 heures.,Work starts at 9 o'clock.,/tʁa.vaj/,m,,,emploi,work,le,travail,,
emploi,job,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Je cherche un emploi.,I'm looking for a job.,/ɑ̃.plwa/,m,,,travail,work,l',emploi,,
métier,job/profession,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Quel métier veux-tu faire ?,What job do you want to do?,/me.tje/,m,,,profession,work,le,métier,,
profession,profession,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La médecine est une noble profession.,Medicine is a noble profession.,/pʁo.fe.sjɔ̃/,f,,,métier,work,la,profession,,
carrière,career,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Elle a une belle carrière.,She has a good career.,/ka.ʁjɛʁ/,f,,,emploi,work,la,carrière,,
médecin,doctor,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le médecin soigne les malades.,The doctor treats the sick.,/mɛd.sɛ̃/,mf,,,infirmier,job,le,médecin,,
docteur,doctor,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le docteur fait une consultation.,The doctor has a consultation.,/dɔk.tœʁ/,mf,,médecin,patient,job,le,docteur,,
infirmier,nurse,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'infirmier aide le médecin.,The nurse helps the doctor.,/ɛ̃.fiʁ.mje/,m,,infirmière,médecin,job,l',infirmier,,
infirmière,nurse,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'infirmière est attentionnée.,The nurse is caring.,/ɛ̃.fiʁ.mjɛʁ/,f,,,médecin,job,l',infirmière,,
dentiste,dentist,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Je vais chez le dentiste.,I'm going to the dentist.,/dɑ̃.tist/,mf,,,médecin,job,le,dentiste,,
avocat,lawyer,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'avocat défend son client.,The lawyer defends his client.,/av.ka/,m,,avocate,juge,job,l',avocat,,
avocate,lawyer,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'avocate plaide au tribunal.,The lawyer pleads in court.,/av.kat/,f,,,juge,job,l',avocate,,
juge,judge,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le juge rend la justice.,The judge delivers justice.,/ʒyʒ/,mf,,,avocat,job,le,juge,,
policier,police officer,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le policier maintient l'ordre.,The police officer maintains order.,/po.li.sje/,m,,policière,criminel,job,le,policier,,
policière,police officer,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La policière enquête sur l'affaire.,The police officer investigates the case.,/po.li.sjɛʁ/,f,,,criminelle,job,la,policière,,
pompier,firefighter,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Les pompiers éteignent le feu.,Firefighters put out the fire.,/pɔ̃.pje/,m,,pompière,criminel,job,le,pompier,,
pompière,firefighter,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La pompière sauve des vies.,The firefighter saves lives.,/pɔ̃.pjɛʁ/,f,,,criminelle,job,la,pompière,,
ingénieur,engineer,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'ingénieur conçoit des ponts.,The engineer designs bridges.,/ɛ̃.ʒe.njœʁ/,mf,,,technicien,job,l',ingénieur,,
architecte,architect,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'architecte dessine les plans.,The architect draws the plans.,/aʁ.ʃi.tɛkt/,mf,,,ingénieur,job,l',architecte,,
informaticien,computer scientist,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'informaticien programme.,The computer scientist programs.,/ɛ̃.fɔʁ.ma.ti.sjɛ̃/,m,,informaticienne,technicien,job,l',informaticien,,
informaticienne,computer scientist,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,L'informaticienne développe des logiciels.,The computer scientist develops software.,/ɛ̃.fɔʁ.ma.ti.sjɛn/,f,,,technicienne,job,l',informaticienne,,
comptable,accountant,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le comptable gère les finances.,The accountant manages finances.,/kɔ̃.tabl/,mf,,,banquier,job,le,comptable,,
banquier,banker,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le banquier prête de l'argent.,The banker lends money.,/bɑ̃.kje/,m,,banquière,comptable,job,le,banquier,,
banquière,banker,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La banquière conseille les clients.,The banker advises clients.,/bɑ̃.kjɛʁ/,f,,,comptable,job,la,banquière,,
vendeur,salesperson,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le vendeur aide les clients.,The salesperson helps customers.,/vɑ̃.dœʁ/,m,,vendeuse,acheteur,job,le,vendeur,,
vendeuse,salesperson,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La vendeuse sourit aux clients.,The salesperson smiles at customers.,/vɑ̃.døz/,f,,,acheteuse,job,la,vendeuse,,
coiffeur,hairdresser,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le coiffeur coupe les cheveux.,The hairdresser cuts hair.,/kwa.fœʁ/,m,,coiffeuse,client,job,le,coiffeur,,
coiffeuse,hairdresser,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La coiffeuse fait des permanentes.,The hairdresser does perms.,/kwa.føz/,f,,,cliente,job,la,coiffeuse,,
cuisinier,cook/chef,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le cuisinier prépare les repas.,The cook prepares meals.,/kɥi.zi.nje/,m,,cuisinière,client,job,le,cuisinier,,
cuisinière,cook/chef,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La cuisinière fait de délicieux plats.,The cook makes delicious dishes.,/kɥi.zi.njɛʁ/,f,,,cliente,job,la,cuisinière,,
serveur,waiter,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,Le serveur apporte les plats.,The waiter brings the dishes.,/sɛʁ.vœʁ/,m,,serveuse,client,job,le,serveur,,
serveuse,waitress,fr,school_jobs_future,professions_jobs,noun,beginner,KS3,La serveuse prend les commandes.,The waitress takes orders.,/sɛʁ.vøz/,f,,,cliente,job,la,serveuse,,
client,customer,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le client choisit son plat.,The customer chooses his dish.,/kli.jɑ̃/,m,,cliente,serveur,food,le,client,,
cliente,customer,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La cliente paie l'addition.,The customer pays the bill.,/kli.jɑ̃t/,f,,,serveuse,food,la,cliente,,
réservation,reservation,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,J'ai une réservation au nom de Martin.,I have a reservation under the name Martin.,/ʁe.zɛʁ.va.sjɔ̃/,f,,,,food,la,réservation,,
table,table,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Cette table est libre.,This table is free.,/tabl/,f,,,chaise,food,la,table,,
chaise,chair,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La chaise est confortable.,The chair is comfortable.,/ʃɛz/,f,,,table,food,la,chaise,,
assiette,plate,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,L'assiette est propre.,The plate is clean.,/a.sjɛt/,f,,,bol,food,l',assiette,,
bol,bowl,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le bol contient de la soupe.,The bowl contains soup.,/bɔl/,m,,,assiette,food,le,bol,,
verre,glass,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le verre est plein d'eau.,The glass is full of water.,/vɛʁ/,m,,,tasse,food,le,verre,,
tasse,cup,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La tasse de café est chaude.,The cup of coffee is hot.,/tas/,f,,,verre,food,la,tasse,,
fourchette,fork,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Je mange avec une fourchette.,I eat with a fork.,/fuʁ.ʃɛt/,f,,,couteau,food,la,fourchette,,
couteau,knife,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le couteau est tranchant.,The knife is sharp.,/ku.to/,m,,,fourchette,food,le,couteau,,
cuillère,spoon,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,J'utilise une cuillère pour la soupe.,I use a spoon for soup.,/kɥi.jɛʁ/,f,,,fourchette,food,la,cuillère,,
serviette,napkin,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La serviette est sur la table.,The napkin is on the table.,/sɛʁ.vjɛt/,f,,,nappe,food,la,serviette,,
nappe,tablecloth,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La nappe est blanche.,The tablecloth is white.,/nap/,f,,,serviette,food,la,nappe,,
faim,hunger,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,J'ai faim.,I'm hungry.,/fɛ̃/,f,,,soif,food,la,faim,,
soif,thirst,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,J'ai soif.,I'm thirsty.,/swaf/,f,,,faim,food,la,soif,,
j'ai faim,I'm hungry,fr,food_drink,ordering_cafes_restaurants,phrase,beginner,KS3,J'ai faim. Qu'est-ce qu'on mange ?,I'm hungry. What are we eating?,/ʒɛ fɛ̃/,,,j'ai soif,,expression,la,j'ai faim,,
j'ai soif,I'm thirsty,fr,food_drink,ordering_cafes_restaurants,phrase,beginner,KS3,J'ai soif. Je veux de l'eau.,I'm thirsty. I want some water.,/ʒɛ swaf/,,,j'ai faim,,expression,la,j'ai soif,,
délicieux,delicious,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Ce plat est délicieux.,This dish is delicious.,/de.li.sjø/,m,,délicieuse,dégoûtant,expression,,délicieux,,
délicieuse,delicious,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Cette tarte est délicieuse.,This tart is delicious.,/de.li.sjøz/,f,,,dégoûtante,expression,,délicieuse,,
bon,good/tasty,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Ce fromage est bon.,This cheese is good.,/bɔ̃/,m,,bonne,mauvais,expression,,bon,,
bonne,good/tasty,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Cette soupe est bonne.,This soup is good.,/bɔn/,f,,,mauvaise,expression,,bonne,,
mauvais,bad/not good,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Ce lait est mauvais.,This milk is bad.,/mo.vɛ/,m,,mauvaise,bon,expression,,mauvais,,
mauvaise,bad/not good,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Cette pomme est mauvaise.,This apple is bad.,/mo.vɛz/,f,,,bonne,expression,,mauvaise,,
chaud,hot,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Le café est trop chaud.,The coffee is too hot.,/ʃo/,m,,chaude,froid,expression,,chaud,,
chaude,hot,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,La soupe est chaude.,The soup is hot.,/ʃod/,f,,,froide,expression,,chaude,,
froid,cold,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,Ce plat est froid.,This dish is cold.,/fʁwa/,m,,froide,chaud,expression,,froid,,
froide,cold,fr,food_drink,ordering_cafes_restaurants,adjective,beginner,KS3,La bière est froide.,The beer is cold.,/fʁwad/,f,,,chaude,expression,,froide,,
maison,house,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Ma maison est grande.,My house is big.,/mɛ.zɔ̃/,f,,,appartement,home,la,maison,,
appartement,apartment,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,J'habite dans un appartement.,I live in an apartment.,/a.paʁ.tə.mɑ̃/,m,,,maison,home,l',appartement,,
chambre,bedroom,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Ma chambre est au premier étage.,My bedroom is on the first floor.,/ʃɑ̃bʁ/,f,,,salon,room,la,chambre,,
salon,living room,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Nous regardons la télé dans le salon.,We watch TV in the living room.,/sa.lɔ̃/,m,,,chambre,room,le,salon,,
cuisine,kitchen,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Je cuisine dans la cuisine.,I cook in the kitchen.,/kɥi.zin/,f,,,salon,room,la,cuisine,,
salle de bains,bathroom,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,La salle de bains est propre.,The bathroom is clean.,/sal də bɛ̃/,f,,,chambre,room,la,salle de bains,,
toilettes,toilet,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Où sont les toilettes ?,Where is the toilet?,/twa.lɛt/,f pl,,,salle de bains,room,les,toilettes,,
WC,WC/toilet,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Les WC sont au bout du couloir.,The WC is at the end of the hallway.,/ve se/,m pl,,,toilettes,room,les,WC,,
salle à manger,dining room,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Nous mangeons dans la salle à manger.,We eat in the dining room.,/sal a mɑ̃.ʒe/,f,,,cuisine,room,la,salle à manger,,
bureau,office/study,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Mon bureau est au deuxième étage.,My office is on the second floor.,/by.ʁo/,m,,,chambre,room,le,bureau,,
grenier,attic,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Il y a des cartons dans le grenier.,There are boxes in the attic.,/ɡʁə.nje/,m,,,cave,room,le,grenier,,
cave,basement/cellar,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le vin est stocké dans la cave.,Wine is stored in the cellar.,/kav/,f,,,grenier,room,la,cave,,
garage,garage,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,La voiture est dans le garage.,The car is in the garage.,/ɡa.ʁaʒ/,m,,,jardin,room,le,garage,,
jardin,garden,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le jardin est fleuri au printemps.,The garden is in bloom in spring.,/ʒaʁ.dɛ̃/,m,,,garage,home,le,jardin,,
balcon,balcony,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Nous prenons le petit-déjeuner sur le balcon.,We have breakfast on the balcony.,/bal.kɔ̃/,m,,,terrasse,home,le,balcon,,
terrasse,terrace,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,La terrasse donne sur le jardin.,The terrace overlooks the garden.,/tɛ.ʁas/,f,,,balcon,home,la,terrasse,,
escalier,stairs,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,L'escalier mène au premier étage.,The stairs lead to the first floor.,/ɛs.ka.lje/,m,,,ascenseur,home,l',escalier,,
ascenseur,elevator,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,L'ascenseur est en panne.,The elevator is broken.,/a.sɑ̃.sœʁ/,m,,,escalier,home,l',ascenseur,,
porte,door,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Fermez la porte s'il vous plaît.,Please close the door.,/pɔʁt/,f,,,fenêtre,home,la,porte,,
fenêtre,window,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Ouvrez la fenêtre.,Open the window.,/fə.nɛtʁ/,f,,,porte,home,la,fenêtre,,
toit,roof,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le toit est rouge.,The roof is red.,/twa/,m,,,sol,home,le,toit,,
sol,floor/ground,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le sol est propre.,The floor is clean.,/sɔl/,m,,,toit,home,le,sol,,
mur,wall,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le mur est blanc.,The wall is white.,/myʁ/,m,,,plafond,home,le,mur,,
plafond,ceiling,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le plafond est haut.,The ceiling is high.,/pla.fɔ̃/,m,,,sol,home,le,plafond,,
lit,bed,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le lit est confortable.,The bed is comfortable.,/li/,m,,,armoire,furniture,le,lit,,
armoire,wardrobe,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Mes vêtements sont dans l'armoire.,My clothes are in the wardrobe.,/aʁ.mwaʁ/,f,,,lit,furniture,l',armoire,,
table,table,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,La table est en bois.,The table is made of wood.,/tabl/,f,,,chaise,furniture,la,table,,
chaise,chair,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Cette chaise est cassée.,This chair is broken.,/ʃɛz/,f,,,table,furniture,la,chaise,,
fauteuil,armchair,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le fauteuil est très confortable.,The armchair is very comfortable.,/fo.tœj/,m,,,chaise,furniture,le,fauteuil,,
canapé,sofa,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le canapé est dans le salon.,The sofa is in the living room.,/ka.na.pe/,m,,,fauteuil,furniture,le,canapé,,
étagère,shelf/bookshelf,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Les livres sont sur l'étagère.,The books are on the shelf.,/e.ta.ʒɛʁ/,f,,,bureau,furniture,l',étagère,,
bureau,desk,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Je travaille à mon bureau.,I work at my desk.,/by.ʁo/,m,,,étagère,furniture,le,bureau,,
commode,chest of drawers,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,La commode est dans la chambre.,The chest of drawers is in the bedroom.,/kɔ.mɔd/,f,,,armoire,furniture,la,commode,,
miroir,mirror,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le miroir est dans la salle de bains.,The mirror is in the bathroom.,/mi.ʁwaʁ/,m,,,tableau,furniture,le,miroir,,
tableau,painting/picture,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Ce tableau est magnifique.,This painting is magnificent.,/ta.blo/,m,,,miroir,furniture,le,tableau,,
tapis,carpet/rug,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Le tapis est coloré.,The carpet is colorful.,/ta.pi/,m,,,parquet,furniture,le,tapis,,
rideau,curtain,fr,home_local_area,house_rooms_furniture,noun,beginner,KS3,Les rideaux sont fermés.,The curtains are closed.,/ʁi.do/,m,,,store,furniture,le,rideau,,
télévision,television,fr,home_local_area,household_items_chores,noun,beginner,KS3,La télévision est allumée.,The television is on.,/te.le.vi.zjɔ̃/,f,,télé,radio,appliance,la,télévision,,
télé,TV,fr,home_local_area,household_items_chores,noun,beginner,KS3,Nous regardons la télé.,We watch TV.,/te.le/,f,,,radio,appliance,la,télé,,
radio,radio,fr,home_local_area,household_items_chores,noun,beginner,KS3,J'écoute la radio.,I listen to the radio.,/ʁa.djo/,f,,,télé,appliance,la,radio,,
ordinateur,computer,fr,home_local_area,household_items_chores,noun,beginner,KS3,Mon ordinateur est portable.,My computer is portable.,/ɔʁ.di.na.tœʁ/,m,,,téléphone,appliance,l',ordinateur,,
téléphone,telephone,fr,home_local_area,household_items_chores,noun,beginner,KS3,Le téléphone sonne.,The telephone is ringing.,/te.le.fɔn/,m,,,ordinateur,appliance,le,téléphone,,
portable,mobile phone,fr,home_local_area,household_items_chores,noun,beginner,KS3,Mon portable est déchargé.,My mobile phone is dead.,/pɔʁ.tabl/,m,,,téléphone,appliance,le,portable,,
réfrigérateur,refrigerator,fr,home_local_area,household_items_chores,noun,beginner,KS3,Le réfrigérateur est plein.,The refrigerator is full.,/ʁe.fʁi.ʒe.ʁa.tœʁ/,m,,frigo,four,appliance,le,réfrigérateur,,
frigo,fridge,fr,home_local_area,household_items_chores,noun,beginner,KS3,Le frigo fait du bruit.,The fridge is making noise.,/fʁi.ɡo/,m,,,four,appliance,le,frigo,,
four,oven,fr,home_local_area,household_items_chores,noun,beginner,KS3,Le four chauffe.,The oven is heating.,/fuʁ/,m,,,frigo,appliance,le,four,,
cuisinière,stove,fr,home_local_area,household_items_chores,noun,beginner,KS3,La cuisinière est à gaz.,The stove is gas.,/kɥi.zi.njɛʁ/,f,,,four,appliance,la,cuisinière,,
micro-ondes,microwave,fr,home_local_area,household_items_chores,noun,beginner,KS3,Je réchauffe au micro-ondes.,I heat up in the microwave.,/mi.kʁo‿ɔ̃d/,m,,,four,appliance,le,micro-ondes,,
